model,accuracy_v7_4,macro_f1_v7_4,weighted_f1_v7_4,train_seconds,strict_test_inference_seconds,accuracy_part2,macro_f1_part2,weighted_f1_part2,_merge,abs_diff_accuracy,abs_diff_macro_f1,abs_diff_weighted_f1
TF-IDF Linear SVM,0.5122549019607843,0.4371798112288189,0.5185035176518472,0.1451187220000065,0.0007389139998394,0.5122549019607843,0.43717981122881894,0.5185035176518472,both,0.0,5.551115123125783e-17,0.0
TF-IDF Logistic Regression,0.5155228758169934,0.4506198613050696,0.5267560348890756,2.832606235999947,0.0009987539999656,0.5155228758169934,0.4506198613050696,0.5267560348890756,both,0.0,0.0,0.0
TF-IDF Multinomial Naive Bayes,0.5727124183006536,0.369335122242099,0.4987668367883826,0.0800569109999287,0.0009040170000389,0.5727124183006536,0.369335122242099,0.49876683678838263,both,0.0,0.0,5.551115123125783e-17
