word,review_flag,candidate_source,df_total,neg_count,neu_count,pos_count,pmi_neg,pmi_neu,pmi_pos,delta_pmi_pos_minus_neg,fisher_odds_ratio,fisher_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,direction,direction_stability,dominant_share,wilson_lower,wilson_upper,score_minus9_to9,bh_adjusted_p_value,survives_fdr,statistical_keep,statistical_reject_reasons
ivava,,deterministic,30,23,4,3,0.6641326542333585,-0.30247865896769,-1.5329176386985282,-2.1970502929318867,0.19008635751010833,0.002086802824662294,-4.96391030301318,-0.9424221427415737,True,NEG,1.0,0.7666666666666667,0.5907167384187784,0.8820761185551049,-6,0.06566472888270686,False,False,fails_bh_fdr
anorwara,,deterministic,19,16,2,1,0.7992730406148132,-0.5051404468220024,-2.1099749413343396,-2.909247981949153,0.09118068833652007,0.002321345348350347,-4.948513765626379,-1.3593199715790045,True,NEG,1.0,0.8421052631578947,0.6243452472967093,0.9447952836146585,-7,0.06847968777633524,False,False,fails_bh_fdr
pabasa,,deterministic,18,3,3,12,-1.3618173034527388,0.05623523358153726,1.0248676009525273,2.386684904405266,5.880184331797235,0.00261150815783525,0.8969639676145826,5.2629553543789145,True,POS,0.9995,0.6666666666666666,0.43749467295945105,0.837212252491663,4,0.07250775591166105,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
hakuna,,deterministic,74,52,6,16,0.5353581373225689,-1.0603951251681867,-0.5843096242969548,-1.1196677616195236,0.4472189349112426,0.004020149953112879,-1.9973355934655344,-0.41137762216950563,True,NEG,0.999,0.7027027027027027,0.5906708986801543,0.794727839402392,-4,0.09470538444175383,False,False,fails_bh_fdr
vasina,,deterministic,49,34,7,8,0.5194489768171664,-0.264132347318208,-0.9514290020225165,-1.4708779788396829,0.34256586070010825,0.004122365378088804,-2.8252256614582967,-0.518429002856594,True,NEG,1.0,0.6938775510204082,0.5547210644108935,0.8048450873199342,-5,0.09470538444175383,False,False,fails_bh_fdr
mahara,,deterministic,27,8,1,18,-0.6536157321557123,-1.7380635356506193,1.0185584289110432,1.6721741610667555,3.3109122401847575,0.004213587019654302,0.5776592603791174,3.0918726470083207,True,POS,0.999,0.6666666666666666,0.47824760507320074,0.8135673850128435,3,0.09470538444175383,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
uyuwo,suspected_non_content_seed,deterministic,12,11,1,0,0.9199869064008954,-0.6005600119006846,-3.0533914129679722,-3.9733783193688677,0.0,0.004075735448623979,-4.618200514453513,-2.914590769990535,True,NEG,1.0,0.9166666666666666,0.646120088858883,0.9851349055950829,-8,0.09470538444175383,False,False,fails_bh_fdr
hanzi,,deterministic,64,42,10,12,0.43844482083305536,-0.16057615549161053,-0.7769062888417766,-1.215351109674832,0.41573403554970373,0.005222563369009959,-2.263071633667382,-0.36759824243851474,True,NEG,0.9995,0.65625,0.5340364020991819,0.7607685792155665,-4,0.09938554609400392,False,False,fails_bh_fdr
pakaipa,,deterministic,63,43,8,12,0.4945399491951701,-0.4428881683689436,-0.7543637201906881,-1.2489036693858582,0.4059586325152717,0.005306860280787385,-2.269512955614314,-0.4000078495077023,True,NEG,0.9985,0.6825396825396826,0.5599646825583142,0.7841331334648034,-4,0.09938554609400392,False,False,fails_bh_fdr
havasi,,deterministic,38,23,11,4,0.3280834511013433,0.7151090925149948,-1.5063967624458368,-1.83448021354718,0.2535455090219056,0.005474627539076487,-3.9832317758244873,-0.6444439183200489,True,NEG,0.9995,0.6052631578947368,0.4471786799604255,0.744019242518399,-4,0.09938554609400392,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
mahure,,deterministic,32,23,5,4,0.5725021787677909,-0.10460251723827341,-1.2619780347793892,-1.83448021354718,0.2535455090219056,0.005474627539076487,-3.7366421570557624,-0.6464729607430106,True,NEG,1.0,0.71875,0.5462549057408342,0.8443541950225723,-5,0.09938554609400392,False,False,fails_bh_fdr
zimdomestict,,deterministic,13,2,1,10,-1.392678267157498,-0.7115913242894276,1.2278946974220455,2.6205729645795435,7.346508058326938,0.005090587851578081,1.0057333661563244,5.258167231035893,True,POS,0.999,0.7692307692307693,0.49743624053272495,0.9182047128150143,6,0.09938554609400392,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
nesu,,deterministic,22,6,1,15,-0.7511322380699745,-1.448556918455635,1.0528079908639532,1.8039402289339277,3.676470588235294,0.0061339045661297185,0.6123704645764562,3.559152933643664,True,POS,0.9985,0.6818181818181818,0.47318597741042745,0.8363940681864375,4,0.10722973908197136,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
nhai,,deterministic,87,52,18,17,0.30331554595240195,0.21657593094950478,-0.7314633180806087,-1.0347788640330107,0.47535294639950276,0.006483531161652657,-1.891093374933489,-0.35210971770300514,True,NEG,1.0,0.5977011494252874,0.49264741201064083,0.6944918107703932,-4,0.10929381101071622,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
shadaya,,deterministic,391,194,102,95,0.031038987813759356,0.5249452793672891,-0.4449748924485384,-0.47601388026229774,0.7064677328993159,0.00691119544210817,-0.8136788300593687,-0.15862659126917772,True,NEG,0.9985,0.4961636828644501,0.44688430073226226,0.5455177129545468,-2,0.11248566374741574,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
anogona,,deterministic,22,4,6,12,-1.281646954768755,0.6669202989642997,0.7424678702518026,2.0241148250205576,4.408986175115207,0.008428593277175902,0.5649121198470906,3.9315358436675596,True,POS,0.9975,0.5454545454545454,0.3465979532073494,0.7307970581918668,3,0.13260986756090085,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
matatu,,deterministic,12,2,1,9,-1.281646954768755,-0.6005600119006846,1.1945361004756148,2.4761830552443698,6.609321058688147,0.009835475847113884,0.8393509118308375,5.127538388295403,True,POS,0.9975,0.75,0.46769466506643426,0.9110583316059453,5,0.14975305160766947,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
chero,,deterministic,87,35,9,43,-0.26118285220903825,-0.7449499212358601,0.5821971608231529,0.8433800130321911,1.8125367830770085,0.010373810274648669,0.18443290484213867,1.512539759308299,True,POS,0.9955,0.4942528735632184,0.3916827782936405,0.5973090321310045,1,0.15301370155106786,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
mumusoro,,deterministic,17,13,3,1,0.6658856253371095,0.13640558226552102,-1.9538557394170581,-2.6197413647541676,0.11231063391675246,0.011604351742692552,-4.690773799929298,-0.9610287067892724,True,NEG,0.9995,0.7647058823529411,0.5273820188043501,0.9044495567791988,-6,0.1659773946227541,False,False,fails_bh_fdr
asina,,deterministic,57,41,3,13,0.5698305205211573,-1.5798014517338874,-0.5001377719741535,-1.069968292495311,0.46166243452676553,0.012307367903724796,-2.1267342551688557,-0.30080373136050603,True,NEG,0.997,0.7192982456140351,0.5916980132395605,0.8192060065617645,-4,0.1708552250164148,False,False,fails_bh_fdr
kuudza,,deterministic,15,9,6,0,0.3340123431753188,1.2045770849071005,-3.363731533580122,-3.6977438767554407,0.0,0.013409146676534357,-4.416089628828841,-2.5851434756541636,True,NEG,1.0,0.6,0.357468301206246,0.8017550385865841,-5,0.17105722246822205,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
ukuda,,deterministic,10,9,1,0,0.8958912307834339,-0.3490212449047192,-2.801852645972007,-3.6977438767554407,0.0,0.013409146676534357,-4.413477697676616,-2.3197397873137287,True,NEG,1.0,0.9,0.5958499732047615,0.9821237869049271,-8,0.17105722246822205,False,False,fails_bh_fdr
vepano,,deterministic,10,9,1,0,0.8958912307834339,-0.3490212449047192,-2.801852645972007,-3.6977438767554407,0.0,0.013409146676534357,-4.46673706873561,-2.3432910327850287,True,NEG,1.0,0.9,0.5958499732047615,0.9821237869049271,-8,0.17105722246822205,False,False,fails_bh_fdr
ndi,,deterministic,27,7,5,15,-0.8341879777975336,0.13640558226552102,0.7633013736689689,1.5974893514665025,3.1504366452463337,0.01460528092889304,0.43317449592153295,3.1594975385563218,True,POS,0.9945,0.5555555555555556,0.3731302451322448,0.72414141822977,3,0.1814129631167767,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
waita,,deterministic,11,2,1,8,-1.1613527210510437,-0.48026577818297334,1.15436566200008,2.3157183830511237,5.872699386503068,0.018974646718661666,0.5833415095895597,4.979152191492521,True,POS,0.995,0.7272727272727273,0.43435469882387084,0.902539407099751,5,0.22964187823611043,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
musadaro,,deterministic,23,14,7,2,0.3436732835685419,0.8106354210837647,-1.642195979983521,-1.985869263552063,0.20860203300907204,0.02187790423705649,-4.620681217316212,-0.4951874782049096,True,NEG,0.9945,0.6086956521739131,0.4078552239138171,0.7784237720752205,-5,0.24586597142596817,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
vanoti,,deterministic,18,14,2,2,0.6888087696172285,-0.42919159358870473,-1.2970604939348345,-1.985869263552063,0.20860203300907204,0.02187790423705649,-4.5844122707734885,-0.5599423866225667,True,NEG,0.9985,0.7777777777777778,0.5478541568378739,0.9099907189139831,-6,0.24586597142596817,False,False,fails_bh_fdr
varungu,identity_term,deterministic,16,14,0,2,0.8538680158877252,-2.5860604422055715,-1.1320012476643377,-1.985869263552063,0.20860203300907204,0.02187790423705649,-4.584500262266,-0.4908039378268452,True,NEG,0.9955,0.875,0.639771727342413,0.9650225122567595,-7,0.24586597142596817,False,False,fails_bh_fdr
kubva,,deterministic,126,51,21,54,-0.25621190739248423,-0.09839514283932882,0.37565552688936954,0.6318674342818538,1.562198649951784,0.027099454505255766,0.07350299711210968,1.1960379196195856,True,POS,0.985,0.42857142857142855,0.34553800493777653,0.5158313899882517,0,0.28424316725512716,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
wedu,,deterministic,16,4,2,10,-0.8341879777975336,-0.264132347318208,0.9383880802270594,1.772576058024593,3.6713353798925557,0.02663670526941469,0.3146275230821622,3.803344734629887,True,POS,0.9905,0.625,0.38641040545502714,0.8151876744113636,3,0.28424316725512716,False,False,fails_bh_fdr;wilson_lower_not_above_threshold
