model,accuracy_v7_4,macro_f1_v7_4,weighted_f1_v7_4,coverage_v7_4,strict_test_rows_v7_4,validation_selected_neg_threshold_v7_4,validation_selected_pos_threshold_v7_4,accuracy_multilingual_release,macro_f1_multilingual_release,weighted_f1_multilingual_release,coverage_multilingual_release,strict_test_rows_multilingual_release,validation_selected_neg_threshold_multilingual_release,validation_selected_pos_threshold_multilingual_release,abs_diff_accuracy,abs_diff_macro_f1,abs_diff_weighted_f1,abs_diff_coverage
FrenchyShona V2 sign aggregate,0.369281045751634,0.269717466643914,0.2961926647396166,0.909313725490196,1224,2.5,3.0,0.369281045751634,0.269717466643914,0.29619266473961664,0.9093137254901961,1224,2.5,3.0,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16
FrenchyShona V2 calibrated average,0.440359477124183,0.3663403646162266,0.440856339588591,0.909313725490196,1224,2.5,3.0,0.440359477124183,0.36634036461622665,0.44085633958859105,0.9093137254901961,1224,2.5,3.0,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16
