loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_balanced_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_precision,eval_weighted_recall,eval_weighted_f1,eval_macro_ovr_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1085498809814454,4.777533054351807,1.9503042596348885e-05,0.10141987829614604,50,,,,,,,,,,,,,,,,,,
1.1000431823730468,4.884331226348877,1.8995943204868156e-05,0.2028397565922921,100,,,,,,,,,,,,,,,,,,
1.0844390869140625,5.448269844055176,1.8488843813387426e-05,0.30425963488843816,150,,,,,,,,,,,,,,,,,,
1.084412612915039,3.5787241458892822,1.7981744421906696e-05,0.4056795131845842,200,,,,,,,,,,,,,,,,,,
1.0918482208251954,6.65213680267334,1.7474645030425966e-05,0.5070993914807302,250,,,,,,,,,,,,,,,,,,
1.0993074035644532,3.700761556625366,1.6967545638945236e-05,0.6085192697768763,300,,,,,,,,,,,,,,,,,,
1.0549996948242188,4.671224594116211,1.6460446247464506e-05,0.7099391480730223,350,,,,,,,,,,,,,,,,,,
1.0676824951171875,3.330244541168213,1.5953346855983772e-05,0.8113590263691683,400,,,,,,,,,,,,,,,,,,
1.0412705993652345,6.133458614349365,1.5446247464503043e-05,0.9127789046653144,450,,,,,,,,,,,,,,,,,,
,,,1.0,493,1.0739541053771973,0.4931506849315068,0.41676902279048517,0.45758398559612434,0.41676902279048517,0.40620720186891707,0.48112440666172224,0.4931506849315068,0.46891621250412513,0.6228580284040727,1.437,609.608,38.274,,,,,
1.0522747039794922,4.9813032150268555,1.4939148073022314e-05,1.0141987829614605,500,,,,,,,,,,,,,,,,,,
1.0162836456298827,5.790921211242676,1.4432048681541584e-05,1.1156186612576064,550,,,,,,,,,,,,,,,,,,
1.0411151123046876,4.290241241455078,1.3924949290060854e-05,1.2170385395537526,600,,,,,,,,,,,,,,,,,,
1.0244004821777344,5.664585113525391,1.3417849898580123e-05,1.3184584178498986,650,,,,,,,,,,,,,,,,,,
1.0058721923828124,5.4364118576049805,1.2910750507099393e-05,1.4198782961460445,700,,,,,,,,,,,,,,,,,,
0.9943022155761718,6.412295341491699,1.2403651115618663e-05,1.5212981744421907,750,,,,,,,,,,,,,,,,,,
1.0026412200927735,5.487912654876709,1.1896551724137933e-05,1.6227180527383367,800,,,,,,,,,,,,,,,,,,
1.0059348297119142,6.769156455993652,1.1389452332657203e-05,1.7241379310344827,850,,,,,,,,,,,,,,,,,,
0.9895567321777343,7.167092800140381,1.0882352941176471e-05,1.8255578093306288,900,,,,,,,,,,,,,,,,,,
1.0158097839355469,12.932724952697754,1.0375253549695741e-05,1.9269776876267748,950,,,,,,,,,,,,,,,,,,
,,,2.0,986,1.0718176364898682,0.4817351598173516,0.4454387828190261,0.4615814226925338,0.4454387828190261,0.4334299962132728,0.4955980768766157,0.4817351598173516,0.4704982133412765,0.6338849715233028,1.4454,606.077,38.053,,,,,
0.9960475158691406,8.450458526611328,9.868154158215011e-06,2.028397565922921,1000,,,,,,,,,,,,,,,,,,
0.9330101776123046,7.545567512512207,9.361054766734281e-06,2.129817444219067,1050,,,,,,,,,,,,,,,,,,
0.9370598602294922,12.477020263671875,8.85395537525355e-06,2.231237322515213,1100,,,,,,,,,,,,,,,,,,
0.9025669097900391,6.375751972198486,8.34685598377282e-06,2.332657200811359,1150,,,,,,,,,,,,,,,,,,
0.9125618743896484,11.769915580749512,7.83975659229209e-06,2.4340770791075053,1200,,,,,,,,,,,,,,,,,,
0.9113414764404297,8.527076721191406,7.332657200811359e-06,2.535496957403651,1250,,,,,,,,,,,,,,,,,,
0.9551566314697265,6.946145057678223,6.825557809330629e-06,2.636916835699797,1300,,,,,,,,,,,,,,,,,,
0.9069039154052735,8.878211975097656,6.3184584178498984e-06,2.738336713995943,1350,,,,,,,,,,,,,,,,,,
0.9060337829589844,9.170489311218262,5.8113590263691685e-06,2.839756592292089,1400,,,,,,,,,,,,,,,,,,
0.8900611114501953,10.080955505371094,5.304259634888439e-06,2.9411764705882355,1450,,,,,,,,,,,,,,,,,,
,,,3.0,1479,1.0907405614852905,0.4931506849315068,0.4642812895440899,0.4594053096906616,0.4642812895440899,0.4603029081199779,0.5013036776752781,0.49315068493150693,0.4962194388882215,0.6387063875318311,1.4397,608.455,38.202,,,,,
0.8783350372314453,7.0383992195129395,4.797160243407708e-06,3.0425963488843815,1500,,,,,,,,,,,,,,,,,,
0.808835678100586,11.52983283996582,4.290060851926978e-06,3.1440162271805274,1550,,,,,,,,,,,,,,,,,,
0.8281890106201172,10.380521774291992,3.782961460446248e-06,3.2454361054766734,1600,,,,,,,,,,,,,,,,,,
0.8032744598388671,10.59337329864502,3.2758620689655175e-06,3.3468559837728193,1650,,,,,,,,,,,,,,,,,,
0.8269837951660156,13.816624641418457,2.768762677484787e-06,3.4482758620689653,1700,,,,,,,,,,,,,,,,,,
0.8156125640869141,15.727087020874023,2.2616632860040568e-06,3.5496957403651117,1750,,,,,,,,,,,,,,,,,,
